p,method,collision_score
0.25,pi,0.13320622578255178
0.25,yarn,0.0904355432810733
0.25,anchored_hybrid,0.0708751339843162
0.25,sigmoid_formula,0.07072923436589833
0.275,baseline,0.07512673662658638
0.275,pi,0.1445927793179412
0.275,yarn,0.09756617149807328
0.275,anchored_hybrid,0.0771457902221673
0.275,sigmoid_formula,0.07640565055975433
0.30000000000000004,baseline,0.08124322748879476
0.30000000000000004,pi,0.1559793328533306
0.30000000000000004,yarn,0.10469679971507323
0.30000000000000004,anchored_hybrid,0.08341644646001853
0.30000000000000004,sigmoid_formula,0.08208206675361028
0.325,baseline,0.08735971835100305
0.325,pi,0.16736588638871994
0.325,yarn,0.11182742793207325
0.325,anchored_hybrid,0.0896871026978697
0.325,sigmoid_formula,0.08775848294746623
0.35000000000000003,baseline,0.09347620921321141
0.35000000000000003,pi,0.1787524399241093
0.35000000000000003,yarn,0.11895805614907322
0.35000000000000003,anchored_hybrid,0.09595775893572082
0.35000000000000003,sigmoid_formula,0.09343489914132218
0.375,baseline,0.09959270007541972
0.375,pi,0.1901389934594987
0.375,yarn,0.12608868436607318
0.375,anchored_hybrid,0.10222841517357206
0.375,sigmoid_formula,0.09911131533517809
0.4,baseline,0.10570919093762808
0.4,pi,0.20152554699488814
0.4,yarn,0.13321931258307312
0.4,anchored_hybrid,0.10849907141142325
0.4,sigmoid_formula,0.1047877315290341
0.42500000000000004,baseline,0.11182568179983635
0.42500000000000004,pi,0.21291210053027748
0.42500000000000004,yarn,0.14034994080007313
0.42500000000000004,anchored_hybrid,0.11476972764927444
0.42500000000000004,sigmoid_formula,0.11046414772289002
0.45,baseline,0.11794217266204476
0.45,pi,0.22429865406566685
0.45,yarn,0.14748056901707315
0.45,anchored_hybrid,0.12104038388712554
0.45,sigmoid_formula,0.11614056391674599
0.47500000000000003,baseline,0.12405866352425308
0.47500000000000003,pi,0.23568520760105618
0.47500000000000003,yarn,0.15461119723407316
0.47500000000000003,anchored_hybrid,0.12731104012497674
0.47500000000000003,sigmoid_formula,0.12181698011060192
0.5,baseline,0.13017515438646138
0.5,pi,0.2470717611364457
0.5,yarn,0.16174182545107307
0.5,anchored_hybrid,0.13358169636282788
0.5,sigmoid_formula,0.12749339630445794
0.525,baseline,0.1362916452486697
0.525,pi,0.25845831467183505
0.525,yarn,0.16887245366807305
0.525,anchored_hybrid,0.13985235260067905
0.525,sigmoid_formula,0.13316981249831383
0.55,baseline,0.142408136110878
0.55,pi,0.2698448682072244
0.55,yarn,0.176003081885073
0.55,anchored_hybrid,0.14612300883853033
0.55,sigmoid_formula,0.1388462286921699
0.5750000000000001,baseline,0.14852462697308633
0.5750000000000001,pi,0.2812314217426138
0.5750000000000001,yarn,0.18313371010207305
0.5750000000000001,anchored_hybrid,0.15239366507638144
0.5750000000000001,sigmoid_formula,0.14452264488602576
0.6000000000000001,baseline,0.15464111783529463
0.6000000000000001,pi,0.29261797527800326
0.6000000000000001,yarn,0.19026433831907288
0.6000000000000001,anchored_hybrid,0.15866432131423258
0.6000000000000001,sigmoid_formula,0.15019906107988182
