slot_zero_based,slot_one_based,mr_exponent,bm_exponent_intended,bm_exponent_realized,exponent_delta_to_mr,native_frequency,mr_frequency,bm_frequency,frequency_ratio_to_mr,native_right_log_gap,mr_right_log_gap,bm_right_log_gap,p2_exponent,p2_frequency,bm_exponent_delta_to_p2
49,50,1.0,1.0,1.0,0.0,2.5482966520939954e-05,6.370741630234988e-06,6.370741630234988e-06,1.0,0.21586733455802007,0.21586733455802007,0.21586733455802007,1.0,6.370741630234988e-06,0.0
50,51,1.0,1.0,1.0,0.0,2.0535249859676696e-05,5.133812464919174e-06,5.133812464919174e-06,1.0,0.21586735651057629,0.21586735651057629,0.21586735651057629,1.0,5.133812464919174e-06,0.0
51,52,1.0,1.0,1.0,0.0,1.6548170606256463e-05,4.137042651564116e-06,4.137042651564116e-06,1.0,0.21586734272577485,0.21586734272577485,0.21586734272577485,1.0,4.137042651564116e-06,0.0
52,53,1.0,1.0,1.0,0.0,1.333521413471317e-05,3.3338035336782923e-06,3.3338035336782923e-06,1.0,0.215867340599543,0.215867340599543,0.215867340599543,1.0,3.3338035336782923e-06,0.0
53,54,1.0,1.0,1.0,0.0,1.0746078260126524e-05,2.686519565031631e-06,2.686519565031631e-06,1.0,0.2158672902167184,0.2158672902167184,0.2158672902167184,1.0,2.686519565031631e-06,0.0
54,55,1.0,1.0,1.0,0.0,8.659643754072022e-06,2.1649109385180054e-06,2.1649109385180054e-06,1.0,0.2158673373322772,0.2158673373322772,0.2158673373322772,1.0,2.1649109385180054e-06,0.0
55,56,1.0,1.0,1.0,0.0,6.978306373639498e-06,1.7445765934098745e-06,1.7445765934098745e-06,1.0,0.21586738860932964,0.21586738860932964,0.21586738860932964,1.0,1.7445765934098745e-06,0.0
56,57,1.0,1.0,1.0,0.0,5.62341347176698e-06,1.405853367941745e-06,1.405853367941745e-06,1.0,0.21586737185349536,0.21586737185349536,0.21586737185349536,1.0,1.405853367941745e-06,0.0
57,58,1.0,1.0,1.0,0.0,4.531583726929966e-06,1.1328959317324916e-06,1.1328959317324916e-06,1.0,0.2158673698885474,0.2158673698885474,0.2158673698885474,1.0,1.1328959317324916e-06,0.0
58,59,1.0,1.0,1.0,0.0,3.651741280918941e-06,9.129353202297352e-07,9.129353202297352e-07,1.0,0.21586735402314042,0.21586735402314042,0.21586735402314042,1.0,9.129353202297352e-07,0.0
59,60,1.0,1.0,1.0,0.0,2.9427271783788456e-06,7.356817945947114e-07,7.356817945947114e-07,1.0,0.21586733908279918,0.21586733908279918,0.21586733908279918,1.0,7.356817945947114e-07,0.0
60,61,1.0,1.0,1.0,0.0,2.3713737391517498e-06,5.928434347879374e-07,5.928434347879374e-07,1.0,0.21586737425969885,0.21586737425969885,0.21586737425969885,1.0,5.928434347879374e-07,0.0
61,62,1.0,1.0,1.0,0.0,1.910952960315626e-06,4.777382400789065e-07,4.777382400789065e-07,1.0,0.21586734262773716,0.21586734262773716,0.21586734262773716,1.0,4.777382400789065e-07,0.0
62,63,1.0,1.0,1.0,0.0,1.5399265294036013e-06,3.8498163235090033e-07,3.8498163235090033e-07,1.0,0.2158673526556834,0.2158673526556834,0.2158673526556834,1.0,3.8498163235090033e-07,0.0
63,64,1.0,1.0,1.0,0.0,1.2409377632138785e-06,3.102344408034696e-07,3.102344408034696e-07,1.0,,,,1.0,3.102344408034696e-07,0.0
