arm,target_length,prompt_sha8,example_id,layer,n_frozen_heads_in_layer,hit16_all_heads,hit16_frozen_heads,dense_answer_mass_all_heads,dense_answer_mass_frozen_heads,block_rank_median_all_heads,block_rank_median_frozen_heads
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,18,0,0.59375,nan,0.003895657179783907,nan,10.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,19,1,0.3125,1.0,0.0020187898144214955,0.02992768958210945,31.5,2.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,20,2,0.4375,1.0,0.009498622891012984,0.03713420405983925,31.0,1.5
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,21,1,0.375,1.0,0.0013054720754039906,0.0035224752500653267,24.0,12.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,22,1,0.5,1.0,0.0015490799738864247,0.021850962191820145,17.5,2.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,23,1,0.25,1.0,0.003731991049244994,0.10220622271299362,48.0,1.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,24,1,0.375,1.0,0.003148906989696414,0.02000592276453972,49.5,3.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,25,0,0.5,nan,0.002074543699465315,nan,16.0,nan
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,26,2,0.40625,0.0,0.002634645200813246,0.00023068173049978213,36.0,36.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,27,1,0.15625,0.0,0.0007672465880648362,0.0001441555650671944,47.5,43.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,28,1,0.1875,0.0,0.0011572610047709422,0.00033661641646176577,62.0,53.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,29,1,0.1875,0.0,0.0006398053168270229,0.00019051774870604277,64.5,38.0
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,30,4,0.1875,0.0,0.0010609783922517144,2.1961591755825793e-05,51.0,62.5
evq,16384,8c28ff35,passkey-L16384-d50p0-t00-s42,31,1,0.125,1.0,0.0006865813976208049,0.0005825407570227981,63.5,14.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,0,0,0.625,nan,0.00043590325594369806,nan,14.5,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,1,0,0.78125,nan,0.0004498668179735432,nan,11.5,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,2,0,0.09375,nan,0.0001682350962255441,nan,66.5,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,3,0,0.625,nan,0.0004833030934605631,nan,13.0,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,4,0,0.53125,nan,0.0003248178287549308,nan,14.0,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,5,0,0.15625,nan,0.0003892440445771861,nan,41.5,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,6,0,0.4375,nan,0.00028007625996906427,nan,27.0,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,7,0,0.53125,nan,0.00022395166068633898,nan,14.5,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,8,0,0.375,nan,0.00028072176647554736,nan,44.5,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,9,0,0.5,nan,0.0003946250008706187,nan,16.0,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,10,0,0.15625,nan,0.00019837256996169117,nan,49.0,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,11,1,0.28125,1.0,0.0002317869154868646,0.001318741706199944,43.0,4.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,12,0,0.40625,nan,0.00018519204185987737,nan,29.0,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,13,5,0.09375,0.0,0.00022854933423488433,0.00039702481153653936,36.0,35.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,14,3,0.25,0.0,0.0003916258045641996,8.951690051617334e-05,44.5,45.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,15,1,0.53125,0.0,0.0007845864697145141,5.414861334429588e-06,14.5,54.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,16,1,0.4375,1.0,0.00024013289367275092,0.0003278161457274109,25.5,12.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,17,4,0.46875,0.0,0.0008591184251045547,0.00033514314691274194,17.0,32.5
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,18,0,0.5,nan,0.0019078072175666705,nan,20.0,nan
