arm,prompt_sha256,prompt_sha8,depth_percent,matched_pair,answer_position,layer,gold_token_id,delta_gold_raw,delta_gold_centred,delta_median_vocab,delta_mad_vocab,delta_gold_z,causal_delta_rank,l2_centred,kl_full_abl,kl_abl_full,tvd,gold_rank_full,gold_rank_ablated,gold_logprob_full,gold_logprob_ablated,gold_logit_full,gold_logit_ablated,gap_to_best_competitor_full,gap_to_best_competitor_ablated,best_competitor_id_full,best_competitor_id_ablated,entropy_full,top1_prob_full,gold_prob_full
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,13,4146,-0.87890625,-0.7578125,-0.12109375,0.55078125,-0.9280227422714233,105617,300.0496520996094,0.42250287532806396,0.43796777725219727,0.35448703169822693,69649,49579,-14.124143600463867,-13.383073806762695,-0.171875,0.70703125,9.546875,9.91796875,59966,119,9.401723861694336,0.010282940231263638,7.344502250816731e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,14,4146,-0.712890625,-0.744140625,0.03125,0.53125,-0.9447830319404602,106722,290.2296142578125,0.3817390501499176,0.37777793407440186,0.33376792073249817,94195,76891,-15.215493202209473,-14.424970626831055,-1.0234375,-0.310546875,11.2734375,10.060546875,38828,55089,9.334840774536133,0.019408270716667175,2.466012460899947e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,15,4146,-0.8984375,-0.7890625,-0.109375,0.494140625,-1.0770524740219116,110066,270.561279296875,0.3174687325954437,0.320937842130661,0.3085023760795593,116897,106547,-16.60080909729004,-15.816287994384766,-2.640625,-1.7421875,11.390625,11.3671875,25457,42946,9.425132751464844,0.005460668355226517,6.171066502247413e-08
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,16,4146,0.765625,0.921875,-0.15625,0.58740234375,1.0585525035858154,18799,319.9982604980469,0.44858795404434204,0.45077669620513916,0.36284950375556946,96746,112170,-15.182503700256348,-16.10076904296875,-1.6875,-2.453125,11.0,11.765625,33936,7876,9.422209739685059,0.015260252170264721,2.5487216248620825e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,17,4146,0.453125,0.6640625,-0.2109375,0.5703125,0.7853659987449646,27688,309.9564514160156,0.43237754702568054,0.44138941168785095,0.3591218590736389,107145,116075,-15.725472450256348,-16.453784942626953,-2.109375,-2.5625,11.921875,11.6875,79641,78832,9.406715393066406,0.022290438413619995,1.4808603054916603e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,18,4146,0.5068359375,0.5771484375,-0.0703125,0.560546875,0.6944669485092163,31202,305.3793029785156,0.42006048560142517,0.4145174026489258,0.34834417700767517,68105,83279,-13.996164321899414,-14.637105941772461,-0.2353515625,-0.7421875,9.7978515625,10.6796875,28940,28940,9.361717224121094,0.015020906925201416,8.347243465323118e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,19,4146,0.9990234375,0.8466796875,0.15234375,0.55859375,1.0223487615585327,19974,304.5387878417969,0.42049986124038696,0.4156401753425598,0.3504140079021454,66657,88306,-13.915752410888672,-14.773545265197754,0.1865234375,-0.8125,8.6884765625,10.0625,18773,85374,9.518906593322754,0.005368126556277275,9.046186164596293e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,20,4146,2.103515625,1.916015625,0.1875,0.57421875,2.250596761703491,2160,314.0859680175781,0.4290710985660553,0.41893884539604187,0.35152626037597656,26478,74091,-12.237139701843262,-14.139820098876953,1.921875,-0.181640625,7.140625,9.369140625,85374,85374,9.575411796569824,0.006118032615631819,4.847052878176328e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,21,4146,1.93017578125,1.85205078125,0.078125,0.546875,2.2842352390289307,1867,297.706787109375,0.3902931213378906,0.39336442947387695,0.3385327160358429,25078,70291,-12.20703125,-14.041228294372559,2.015625,0.08544921875,7.796875,9.28955078125,80305,18020,9.475852012634277,0.012153279036283493,4.995209565095138e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,22,4146,2.4765625,2.427734375,0.048828125,0.482421875,3.3942997455596924,125,262.484619140625,0.2925950586795807,0.28749412298202515,0.2921918034553528,33257,97134,-12.45120906829834,-14.86079216003418,1.3984375,-1.078125,7.6015625,9.453125,13783,13645,9.738412857055664,0.007831145077943802,3.912988631782355e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,1,23,4146,2.015625,1.9609375,0.0546875,0.486572265625,2.718268871307373,768,266.2715148925781,0.3023601174354553,0.2966134250164032,0.2961483597755432,46292,98230,-12.969175338745117,-14.931174278259277,0.796875,-1.21875,8.328125,10.34375,82492,82492,9.760735511779785,0.009647559374570847,2.3310883534577442e-06
