case,b,L,phi,exact,approx_fit,approx_theory
b1e4,10000.0,16384,0.7781250000000001,0.8040520919926185,0.8039225890356297,0.8038126792164304
b1e4,10000.0,16384,0.78125,0.8041135541589239,0.8054058361690498,0.8052956828302194
b1e4,10000.0,16384,0.784375,0.8047052412813824,0.80688908330247,0.8067786864440084
b1e4,10000.0,16384,0.7875000000000001,0.8062273996874794,0.8083723304358901,0.8082616900577975
b1e4,10000.0,16384,0.790625,0.8086426603932573,0.8098555775693101,0.8097446936715864
b1e4,10000.0,16384,0.7937500000000001,0.8115460098772018,0.8113388247027303,0.8112276972853754
b1e4,10000.0,16384,0.796875,0.8143713517029667,0.8128220718361504,0.8127107008991643
b1e4,10000.0,16384,0.8,0.8166243275465552,0.8143053189695706,0.8141937045129535
b1e4,10000.0,16384,0.8031250000000001,0.8180490824767674,0.8157885661029907,0.8156767081267424
b1e4,10000.0,16384,0.80625,0.8186842967813914,0.8172718132364107,0.8171597117405314
b1e4,10000.0,16384,0.8093750000000001,0.8188136027373322,0.8187550603698309,0.8186427153543204
b1e4,10000.0,16384,0.8125,0.8188489958476709,0.8202383075032511,0.8201257189681094
b1e4,10000.0,16384,0.815625,0.8191969548649255,0.8217215546366712,0.8216087225818984
b1e4,10000.0,16384,0.8187500000000001,0.8201493939439493,0.8232048017700913,0.8230917261956874
b1e4,10000.0,16384,0.821875,0.8218237285521806,0.8246880489035113,0.8245747298094763
