L,index,theta_sigmoid,log_theta_sigmoid,k,x0
16384,47,0.00010340814673570679,-9.176826810447112,0.36189839376732125,31.5
16384,48,0.00010236062468172665,-9.187008443899918,0.36189839376732125,31.5
16384,49,0.00010163609599899071,-9.1941118103347,0.36189839376732125,31.5
16384,50,0.00010113394284107725,-9.199064752962112,0.36189839376732125,31.5
16384,51,0.00010078541522937916,-9.20251690298037,0.36189839376732125,31.5
16384,52,0.00010054327268961159,-9.204922349109554,0.36189839376732125,31.5
16384,53,0.000100374925102153,-9.20659813187792,0.36189839376732125,31.5
16384,54,0.00010025782611336364,-9.20776542885587,0.36189839376732125,31.5
16384,55,0.00010017634704776494,-9.20857845458698,0.36189839376732125,31.5
16384,56,0.0001001196394690996,-9.209144692395002,0.36189839376732125,31.5
16384,57,0.00010008016581436971,-9.20953903498875,0.36189839376732125,31.5
16384,58,0.0001000526854084378,-9.20981365663069,0.36189839376732125,31.5
16384,59,0.0001000335528312422,-9.210004899940797,0.36189839376732125,31.5
16384,60,0.00010002023149319528,-9.210138077507136,0.36189839376732125,31.5
16384,61,0.00010001095595818598,-9.210230818395535,0.36189839376732125,31.5
16384,62,0.00010000449730819816,-9.21029539990546,0.36189839376732125,31.5
16384,63,0.0001,-9.210340371976182,0.36189839376732125,31.5
32768,0,1.0,0.0,0.39378791840388405,31.5
32768,1,0.9999817728747175,-1.822729139861047e-05,0.39378791840388405,31.5
32768,2,0.99995475033655,-4.5250687246892196e-05,0.39378791840388405,31.5
32768,3,0.9999146887331095,-8.531490610359448e-05,0.39378791840388405,31.5
32768,4,0.9998552975523229,-0.00014471291808631524,0.39378791840388405,31.5
32768,5,0.9997672529155188,-0.00023277417428730848,0.39378791840388405,31.5
32768,6,0.999636736527671,-0.00036332946848726685,0.39378791840388405,31.5
32768,7,0.999443272910352,-0.000556882119716516,0.39378791840388405,31.5
32768,8,0.9991565303042834,-0.0008438256164333435,0.39378791840388405,31.5
32768,9,0.9987315939594285,-0.0012692111483878466,0.39378791840388405,31.5
32768,10,0.9981019939904819,-0.0018998095053160272,0.39378791840388405,31.5
32768,11,0.9971694466526996,-0.0028345669390058754,0.39378791840388405,31.5
32768,12,0.9957888159000692,-0.004220076108396055,0.39378791840388405,31.5
32768,13,0.9937461914380846,-0.006273445536074469,0.39378791840388405,31.5
32768,14,0.9907272026827506,-0.009316057337571352,0.39378791840388405,31.5
32768,15,0.9862718118929947,-0.01382329107878055,0.39378791840388405,31.5
32768,16,0.9797111139539605,-0.020497532453811286,0.39378791840388405,31.5
32768,17,0.9700818195382463,-0.03037486100254386,0.39378791840388405,31.5
32768,18,0.9560167563245948,-0.04497983854815418,0.39378791840388405,31.5
32768,19,0.9356183295447517,-0.0665476532447457,0.39378791840388405,31.5
32768,20,0.906342833494532,-0.09833764110007595,0.39378791840388405,31.5
32768,21,0.8649666525873961,-0.14506432471548758,0.39378791840388405,31.5
32768,22,0.8077801320330936,-0.21346537131115367,0.39378791840388405,31.5
32768,23,0.7312519557694755,-0.31299720588309965,0.39378791840388405,31.5
32768,24,0.6334499277854191,-0.4565743229361034,0.39378791840388405,31.5
32768,25,0.5162772758690912,-0.6611113014893418,0.39378791840388405,31.5
32768,26,0.38776580617862005,-0.9473537139171883,0.39378791840388405,31.5
32768,27,0.2623367664750683,-1.338126232374125,0.39378791840388405,31.5
32768,28,0.15662242463011475,-1.853917308805386,0.39378791840388405,31.5
32768,29,0.08165529695110943,-2.5052485878044872,0.39378791840388405,31.5
32768,30,0.037505162165456456,-3.2832766977342245,0.39378791840388405,31.5
32768,31,0.015713102337821413,-4.153260370855658,0.39378791840388405,31.5
32768,32,0.006364115618295199,-5.057080001120525,0.39378791840388405,31.5
32768,33,0.0026662996298707766,-5.927063674241959,0.39378791840388405,31.5
32768,34,0.0012246602943575644,-6.705091784171696,0.39378791840388405,31.5
32768,35,0.0006384781760093656,-7.356423063170797,0.39378791840388405,31.5
32768,36,0.0003811894205439314,-7.872214139602058,0.39378791840388405,31.5
32768,37,0.00025788761774919424,-8.262986658058994,0.39378791840388405,31.5
32768,38,0.00019369436671730705,-8.54922907048684,0.39378791840388405,31.5
32768,39,0.0001578656743234724,-8.75376604904008,0.39378791840388405,31.5
32768,40,0.00013675177100179228,-8.897343166093082,0.39378791840388405,31.5
32768,41,0.00012379606285724203,-8.996875000665028,0.39378791840388405,31.5
32768,42,0.00011561139345761773,-9.065276047260696,0.39378791840388405,31.5
32768,43,0.00011033352535534033,-9.112002730876107,0.39378791840388405,31.5
32768,44,0.00010688118952164769,-9.143792718731437,0.39378791840388405,31.5
32768,45,0.00010460067706809854,-9.165360533428029,0.39378791840388405,31.5
32768,46,0.00010308408835823706,-9.17996551097364,0.39378791840388405,31.5
32768,47,0.00010207090495933603,-9.189842839522372,0.39378791840388405,31.5
32768,48,0.00010139192745260115,-9.196517080897403,0.39378791840388405,31.5
32768,49,0.00010093595868692613,-9.20102431463861,0.39378791840388405,31.5
32768,50,0.00010062931648098839,-9.20406692644011,0.39378791840388405,31.5
32768,51,0.00010042289931687209,-9.206120295867787,0.39378791840388405,31.5
32768,52,0.00010028385881224117,-9.207505805037178,0.39378791840388405,31.5
32768,53,0.00010019016152867618,-9.208440562470866,0.39378791840388405,31.5
32768,54,0.00010012700169377266,-9.209071160827795,0.39378791840388405,31.5
32768,55,0.00010008441817374287,-9.20949654635975,0.39378791840388405,31.5
32768,56,0.00010005570372073509,-9.209783489856466,0.39378791840388405,31.5
32768,57,0.00010003633954806332,-9.209977042507695,0.39378791840388405,31.5
32768,58,0.0001000232801268298,-9.210107597801896,0.39378791840388405,31.5
32768,59,0.00010001447233895068,-9.210195659058096,0.39378791840388405,31.5
32768,60,0.00010000853185455227,-9.21025505707008,0.39378791840388405,31.5
32768,61,0.00010000452517110737,-9.210295121288937,0.39378791840388405,31.5
32768,62,0.00010000182274575153,-9.210322144684785,0.39378791840388405,31.5
32768,63,0.0001,-9.210340371976182,0.39378791840388405,31.5
65536,0,1.0,0.0,0.4256774430404469,31.5
65536,1,0.9999926603037904,-7.3397231452871025e-06,0.4256774430404469,31.5
65536,2,0.9999814260937276,-1.857407876948974e-05,0.4256774430404469,31.5
65536,3,0.9999642310062007,-3.576963352502585e-05,0.4256774430404469,31.5
65536,4,0.9999379124382755,-6.208948923698811e-05,0.4256774430404469,31.5
65536,5,0.9998976301609528,-0.00010237507919681014,0.4256774430404469,31.5
65536,6,0.9998359768456575,-0.00016403660761119508,0.4256774430404469,31.5
65536,7,0.999741617578796,-0.0002584158076929229,0.4256774430404469,31.5
65536,8,0.9995972097300558,-0.00040287141173442575,0.4256774430404469,31.5
65536,9,0.9993762243480203,-0.0006239702809524383,0.4256774430404469,31.5
65536,10,0.9990380933122293,-0.0009623696168956199,0.4256774430404469,31.5
