[init] device=cuda  dtype=torch.bfloat16  autocast=True
########################################################################
  Phase 17C: 454M staged continuation 1024 → 2048
  Strategy: TRAIN ALL FIRST, then EVAL ALL (avoids compile OOM)
########################################################################
  device=cuda dtype=torch.bfloat16 autocast=True
  L_train=2048 tau*=1.414214 tokens=500M seed=42
  lr=2.0e-04 micro_bs=5 grad_accum=4 effective_bs=20
  passkey_mix=5.00%
  dataset=fineweb-edu
  eval_lengths=[2048, 4096, 8192, 16384, 24576, 32768, 40960, 49152]
  geo_init: /root/autodl-tmp/evq_phase17b/454m_geo_seed42_continue1024/model.pt
  evq_init: /root/autodl-tmp/evq_phase17b/454m_evq_seed42_continue1024/model.pt

########################################################################
  PHASE 1: TRAINING (all models)
########################################################################

  Loading training data...
  [data] loading stage-3 cache: /root/autodl-tmp/evq_phase17c_2048_continue/data/train_rechunk_stage3_500000000_2048.pt
  [data] cached: 244140 chunks (500.0M tokens)
  train_data: torch.Size([244140, 2048]) (500M tokens)
  Loading validation data...
  Using cached val: /root/autodl-tmp/evq_phase17/val_proof-pile-2_5000000.pt
  [passkey-train] loading cached mixed tensor: /root/autodl-tmp/evq_phase17c_2048_continue/data/mixed_fineweb-edu_seed42_pk5_500000000_2048.pt
  [passkey-train] cached shape=(244140, 2048)

========================================================================
  TRAIN: geo_454m_1024_to_2048_continue  |  init=/root/autodl-tmp/evq_phase17b/454m_geo_seed42_continue1024/model.pt
  Continue @L=2048, tokens=500M, seed=42, tau=1.414214
========================================================================
  Model params: 454.2M
  torch.compile enabled (reduce-overhead)
  inv_freq set: max=1.00000000 min=0.00000301
  checkpoint_steps=[3051, 6103, 9155, 12207]
  Train cfg: lr=2.0e-04, min_lr=2.0e-05, micro_bs=5, grad_accum=4, effective_bs=20, chunks=244140, steps=12207, warmup=244, gpu_chunks=8
    step 6851/12207  loss=0.8176  lr=9.53e-05  GPU=27.0GB  ETA=72min
    step 6901/12207  loss=0.4693  lr=9.41e-05  GPU=27.0GB  ETA=72min
    step 6951/12207  loss=0.7524  lr=9.30e-05  GPU=27.0GB  ETA=71min
    step 7001/12207  loss=0.6295  lr=9.18e-05  GPU=27.0GB  ETA=70min
    step 7051/12207  loss=0.8792  lr=9.07e-05  GPU=27.0GB  ETA=69min
    step 7101/12207  loss=0.7075  lr=8.95e-05  GPU=27.0GB  ETA=69min
    step 7151/12207  loss=0.7414  lr=8.84e-05  GPU=27.0GB  ETA=68min
    step 7201/12207  loss=0.5474  lr=8.72e-05  GPU=27.0GB  ETA=67min
    step 7251/12207  loss=0.8765  lr=8.61e-05  GPU=27.0GB  ETA=67min
    step 7301/12207  loss=0.6471  lr=8.49e-05  GPU=27.0GB  ETA=66min
    step 7351/12207  loss=0.7140  lr=8.38e-05  GPU=27.0GB  ETA=65min
    step 7401/12207  loss=0.6848  lr=8.27e-05  GPU=27.0GB  ETA=65min
    step 7451/12207  loss=0.6495  lr=8.16e-05  GPU=27.0GB  ETA=64min
    step 7501/12207  loss=0.5922  lr=8.04e-05  GPU=27.0GB  ETA=63min
    step 7551/12207  loss=0.6894  lr=7.93e-05  GPU=27.0GB  ETA=63min
    step 7601/12207  loss=0.7076  lr=7.82e-05  GPU=27.0GB  ETA=62min
  [gpu-chunk 6/8] loaded (30517, 2048) (0.5GB)
    step 7651/12207  loss=0.6469  lr=7.71e-05  GPU=27.0GB  ETA=61min
    step 7701/12207  loss=0.9258  lr=7.60e-05  GPU=27.0GB  ETA=61min
    step 7751/12207  loss=0.4760  lr=7.49e-05  GPU=27.0GB  ETA=60min
    step 7801/12207  loss=0.8834  lr=7.38e-05  GPU=27.0GB  ETA=59min
    step 7851/12207  loss=0.5536  lr=7.28e-05  GPU=27.0GB  ETA=59min
    step 7901/12207  loss=0.5303  lr=7.17e-05  GPU=27.0GB  ETA=58min
    step 7951/12207  loss=0.6248  lr=7.06e-05  GPU=27.0GB  ETA=57min
    step 8001/12207  loss=0.7776  lr=6.96e-05  GPU=27.0GB  ETA=57min
    step 8051/12207  loss=0.6764  lr=6.85e-05  GPU=27.0GB  ETA=56min
    step 8101/12207  loss=0.7151  lr=6.75e-05  GPU=27.0GB  ETA=55min
    step 8151/12207  loss=0.5355  lr=6.64e-05  GPU=27.0GB  ETA=55min
    step 8201/12207  loss=0.7370  lr=6.54e-05  GPU=27.0GB  ETA=54min
    step 8251/12207  loss=0.6253  lr=6.44e-05  GPU=27.0GB  ETA=53min
    step 8301/12207  loss=0.6690  lr=6.34e-05  GPU=27.0GB  ETA=53min
    step 8351/12207  loss=0.8031  lr=6.24e-05  GPU=27.0GB  ETA=52min
    step 8401/12207  loss=0.7879  lr=6.14e-05  GPU=27.0GB  ETA=51min
    step 8451/12207  loss=0.4915  lr=6.04e-05  GPU=27.0GB  ETA=51min
    step 8501/12207  loss=0.3889  lr=5.94e-05  GPU=27.0GB  ETA=50min
    step 8551/12207  loss=0.5786  lr=5.84e-05  GPU=27.0GB  ETA=49min
    step 8601/12207  loss=0.6596  lr=5.74e-05  GPU=27.0GB  ETA=49min
    step 8651/12207  loss=0.6806  lr=5.65e-05  GPU=27.0GB  ETA=48min
    step 8701/12207  loss=0.8186  lr=5.55e-05  GPU=27.0GB  ETA=47min
    step 8751/12207  loss=0.6101  lr=5.46e-05  GPU=27.0GB  ETA=47min
    step 8801/12207  loss=0.6417  lr=5.37e-05  GPU=27.0GB  ETA=46min
    step 8851/12207  loss=0.5826  lr=5.28e-05  GPU=27.0GB  ETA=45min
    step 8901/12207  loss=0.6089  lr=5.19e-05  GPU=27.0GB  ETA=45min
    step 8951/12207  loss=0.5966  lr=5.10e-05  GPU=27.0GB  ETA=44min
    step 9001/12207  loss=0.4900  lr=5.01e-05  GPU=27.0GB  ETA=43min
    step 9051/12207  loss=0.6758  lr=4.92e-05  GPU=27.0GB  ETA=43min
    step 9101/12207  loss=0.5797  lr=4.83e-05  GPU=27.0GB  ETA=42min
  [gpu-chunk 7/8] loaded (30517, 2048) (0.5GB)
    step 9151/12207  loss=0.5431  lr=4.75e-05  GPU=27.0GB  ETA=41min

  [CKPT-SAVE] geo_454m_1024_to_2048_continue step_09155 (75.0%)
    step 9201/12207  loss=0.6132  lr=4.66e-05  GPU=27.0GB  ETA=40min
    step 9251/12207  loss=0.4556  lr=4.58e-05  GPU=27.0GB  ETA=40min
    step 9301/12207  loss=0.5641  lr=4.50e-05  GPU=27.0GB  ETA=39min
    step 9351/12207  loss=0.7185  lr=4.42e-05  GPU=27.0GB  ETA=38min
    step 9401/12207  loss=0.5032  lr=4.34e-05  GPU=27.0GB  ETA=38min
    step 9451/12207  loss=0.7032  lr=4.26e-05  GPU=27.0GB  ETA=37min
    step 9501/12207  loss=0.7455  lr=4.18e-05  GPU=27.0GB  ETA=36min
    step 9551/12207  loss=0.6577  lr=4.10e-05  GPU=27.0GB  ETA=36min
    step 9601/12207  loss=0.6182  lr=4.03e-05  GPU=27.0GB  ETA=35min
    step 9651/12207  loss=0.6728  lr=3.95e-05  GPU=27.0GB  ETA=34min
    step 9701/12207  loss=0.3854  lr=3.88e-05  GPU=27.0GB  ETA=34min
    step 9751/12207  loss=0.7041  lr=3.81e-05  GPU=27.0GB  ETA=33min
    step 9801/12207  loss=0.5911  lr=3.74e-05  GPU=27.0GB  ETA=32min
    step 9851/12207  loss=0.7109  lr=3.67e-05  GPU=27.0GB  ETA=32min
    step 9901/12207  loss=0.6919  lr=3.60e-05  GPU=27.0GB  ETA=31min
    step 9951/12207  loss=0.8959  lr=3.54e-05  GPU=27.0GB  ETA=30min
    step 10001/12207  loss=0.7285  lr=3.47e-05  GPU=27.0GB  ETA=30min
