ratio_L_over_b,L,p,C_geo,C_hybrid,delta_C_hybrid_minus_geo
1.6,16000,0.686868686868687,0.21223376153619797,0.17331770951996037,-0.0389160520162376
1.6,16000,0.696969696969697,0.21515662381604894,0.1757021554630663,-0.039454468352982636
1.6,16000,0.7070707070707072,0.21807948609589994,0.17808660140617222,-0.039992884689727726
1.6,16000,0.7171717171717172,0.22100234837575092,0.18047104734927816,-0.04053130102647276
1.6,16000,0.7272727272727273,0.2239252106556019,0.18285549329238407,-0.04106971736321782
1.6,16000,0.7373737373737375,0.2268480729354529,0.18523993923549004,-0.04160813369996286
1.6,16000,0.7474747474747475,0.22977093521530387,0.18762438517859598,-0.04214655003670789
1.6,16000,0.7575757575757577,0.2326937974951549,0.19000883112170192,-0.04268496637345298
1.6,16000,0.7676767676767677,0.23561665977500587,0.19239327706480785,-0.043223382710198016
1.6,16000,0.7777777777777778,0.23853952205485685,0.19477772300791377,-0.04376179904694308
1.6,16000,0.787878787878788,0.24146238433470785,0.19716216895101973,-0.04430021538368811
1.6,16000,0.797979797979798,0.24438524661455882,0.19954661489412565,-0.044838631720433175
1.6,16000,0.8080808080808082,0.24730810889440982,0.2019310608372316,-0.04537704805717821
1.6,16000,0.8181818181818182,0.2502309711742608,0.20431550678033755,-0.045915464393923244
1.6,16000,0.8282828282828284,0.25315383345411185,0.2066999527234435,-0.04645388073066836
1.6,16000,0.8383838383838385,0.2560766957339628,0.20908439866654943,-0.04699229706741337
1.6,16000,0.8484848484848485,0.25899955801381375,0.21146884460965534,-0.0475307134041584
1.6,16000,0.8585858585858587,0.2619224202936648,0.2138532905527613,-0.04806912974090349
1.6,16000,0.8686868686868687,0.26484528257351575,0.21623773649586725,-0.0486075460776485
1.6,16000,0.8787878787878789,0.26776814485336675,0.2186221824389732,-0.04914596241439356
1.6,16000,0.888888888888889,0.2706910071332177,0.22100662838207913,-0.04968437875113857
1.6,16000,0.8989898989898991,0.27361386941306876,0.22339107432518504,-0.050222795087883715
1.6,16000,0.9090909090909092,0.27653673169291976,0.22577552026829098,-0.05076121142462878
1.6,16000,0.9191919191919192,0.2794595939727707,0.2281599662113969,-0.05129962776137381
1.6,16000,0.9292929292929294,0.2823824562526217,0.23054441215450286,-0.051838044098118846
1.6,16000,0.9393939393939394,0.28530531853247265,0.2329288580976088,-0.05237646043486385
1.6,16000,0.9494949494949496,0.2882281808123237,0.23531330404071474,-0.05291487677160897
1.6,16000,0.9595959595959597,0.29115104309217466,0.23769774998382068,-0.05345329310835398
1.6,16000,0.9696969696969697,0.29407390537202566,0.2400821959269266,-0.05399170944509907
1.6,16000,0.9797979797979799,0.29699676765187666,0.24246664187003256,-0.0545301257818441
1.6,16000,0.98989898989899,0.2999196299317276,0.24485108781313847,-0.05506854211858914
1.6,16000,1.0,0.3028424922115786,0.2472355337562444,-0.0556069584553342
10.0,100000,0.0,0.007918157093914361,0.007827631475431153,-9.052561848320838e-05
10.0,100000,0.010101010101010102,0.01044409701391741,0.009878333427214983,-0.0005657635867024266
10.0,100000,0.020202020202020204,0.012970036933920456,0.011929035378998814,-0.0010410015549216414
10.0,100000,0.030303030303030304,0.015495976853923503,0.013979737330782647,-0.0015162395231408561
10.0,100000,0.04040404040404041,0.01802191677392655,0.016030439282566478,-0.0019914774913600726
10.0,100000,0.05050505050505051,0.0205478566939296,0.01808114123435031,-0.0024667154595792926
10.0,100000,0.06060606060606061,0.02307379661393265,0.02013184318613414,-0.002941953427798509
10.0,100000,0.07070707070707072,0.025599736533935692,0.02218254513791797,-0.003417191396017722
10.0,100000,0.08080808080808081,0.028125676453938743,0.0242332470897018,-0.003892429364236942
