table_id,family,N_prime,j,m_j,nu_j,T_j,D_j,r_j_native,rL_j_deployed_128K,eps_gap_next,lambda_gap_next,rho_gap_next
uniform_N16,uniform,16,10,0.0,0.11547819846894583,54.41014313077674,32768.0,602.2406506309114,2408.9626025236457,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,11,0.0,0.0930572040929699,67.51960117888665,32768.0,485.31092346331184,1941.2436938532474,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,12,0.0,0.07498942093324559,83.78762269377675,32768.0,391.0840163082203,1564.3360652328813,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,13,0.0,0.060429639023813285,103.9752248843253,32768.0,315.1519993003633,1260.6079972014531,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,14,0.0,0.04869675251658632,129.0267827416111,32768.0,253.96277659360973,1015.8511063744389,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,15,0.0,0.039241897584845364,160.11420685237348,32768.0,204.65391950017494,818.6156780006997,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,16,0.0,0.0316227766016838,198.691765315922,32768.0,164.91876222398315,659.6750488959326,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,17,0.0,0.025482967479793468,246.56411433094644,32768.0,132.89849615349019,531.5939846139607,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,18,0.0,0.020535250264571463,305.97071991957563,32768.0,107.09521489053942,428.3808595621577,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,19,0.0,0.016548170999431816,379.6906200325897,32768.0,86.30184226617831,345.20736906471325,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,20,0.0,0.013335214321633242,471.17242780167385,32768.0,69.54566537962346,278.18266151849383,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,21,0.0,0.010746078283213176,584.6956574841605,32768.0,56.0428311388437,224.1713245553748,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,22,0.0,0.008659643233600654,725.5709199196485,32768.0,45.16167765327311,180.64671061309244,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,23,0.0,0.006978305848598664,900.3883526316538,32768.0,36.39318512309242,145.5727404923697,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,24,0.0625,0.00515669268860623,1218.4525405328795,35733.757383975164,29.327163919201414,107.5725115585354,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,25,0.125,0.0038105924362809166,1648.8736101391848,38967.93874440916,23.63306593348886,79.49184169970187,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,26,0.1875,0.002815877461056539,2231.3418797784216,42494.838526804284,19.044521555354013,58.74133461476366,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,27,0.25,0.002080822341479524,3019.5683609933094,46340.95001184158,15.346878915037175,43.407528603486526,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,28,0.3125,0.0015376456101806881,4086.2375995995926,50535.1643269674,12.367162480204113,32.076450966249155,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,29,0.375,0.0011362594371352327,5529.710118862396,55108.98747006743,9.965981269449397,23.70323166722615,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,30,0.4375,0.0008396508922021118,7483.0925156298945,60096.77697546133,8.031008149363052,17.515752975956214,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,31,0.5,0.0006204688803758599,10126.51158809679,65536.0,6.471725177013011,12.943450354026021,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,32,0.5625,0.0004585020216023357,13703.72432649614,71467.51476795033,5.215189175235228,9.564699119535877,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,33,0.625,0.0003388149034744205,18544.595419941284,77935.87748881833,4.202619454561554,7.067935268032664,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,34,0.6875,0.0002503708455094761,25095.51499254644,84989.67705360857,3.3866480555928478,5.222925293182044,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,35,0.75,0.00018501417629010093,33960.561472476555,92681.90002368316,2.7291038782971095,3.859535717812785,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,36,0.8125,0.00013671817642605267,45957.20533602932,101070.3286539348,2.199227039915287,2.8520446150201995,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,37,0.875,0.00010102933807599999,62191.69032319126,110217.97494013487,1.7722299292295427,2.107548441260541,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,38,0.9375,7.465669466119135e-05,84161.04323522594,120193.55395092267,1.428137643386711,1.5573951434235467,0.0625,1.0905077326652577,1.3532522238560598
uniform_N16,uniform,16,39,1.0,5.516835172711471e-05,113891.1189201156,131072.0,1.150853562971273,1.150853562971273,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,40,1.0,4.445698525097308e-05,141331.79008223594,131072.0,0.9274063529778678,0.9274063529778678,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,41,1.0,3.582531425592411e-05,175383.95510768177,131072.0,0.7473431644275826,0.7473431644275826,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,42,1.0,2.8869549617236462e-05,217640.57252310694,131072.0,0.6022406506309115,0.6022406506309115,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,43,1.0,2.326430102324246e-05,270078.40471554676,131072.0,0.48531092346331156,0.48531092346331156,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,44,1.0,1.8747355233311403e-05,335150.49077510694,131072.0,0.39108401630822043,0.39108401630822043,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,45,1.0,1.510740975595334e-05,415900.8995373007,131072.0,0.31515199930036364,0.31515199930036364,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,46,1.0,1.2174188129146581e-05,516107.1309664443,131072.0,0.2539627765936098,0.2539627765936098,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,47,1.0,9.810474396211334e-06,640456.8274094944,131072.0,0.20465391950017478,0.20465391950017478,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,48,1.0,7.90569415042095e-06,794767.0612636878,131072.0,0.16491876222398316,0.16491876222398316,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,49,1.0,6.3707418699483745e-06,986256.4573237845,131072.0,0.13289849615349036,0.13289849615349036,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,50,1.0,5.133812566142867e-06,1223882.8796783022,131072.0,0.10709521489053944,0.10709521489053944,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,51,1.0,4.1370427498579515e-06,1518762.4801303598,131072.0,0.08630184226617825,0.08630184226617825,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,52,1.0,3.3338035804083114e-06,1884689.711206695,131072.0,0.06954566537962346,0.06954566537962346,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,53,1.0,2.6865195708032973e-06,2338782.6299366388,131072.0,0.05604283113884377,0.05604283113884377,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,54,1.0,2.1649108084001642e-06,2902283.679678593,131072.0,0.04516167765327312,0.04516167765327312,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,55,1.0,1.744576462149665e-06,3601553.4105266174,131072.0,0.036393185123092406,0.036393185123092406,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,56,1.0,1.4058533129758732e-06,4469303.624486615,131072.0,0.02932716391920142,0.02932716391920142,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,57,1.0,1.132895909400206e-06,5546127.631889959,131072.0,0.02363306593348889,0.02363306593348889,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,58,1.0,9.129353181370947e-07,6882399.204360769,131072.0,0.019044521555354015,0.019044521555354015,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,59,1.0,7.356817940523201e-07,8540629.057258878,131072.0,0.015346878915037164,0.015346878915037164,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,60,1.0,5.928434264154141e-07,10598389.09772589,131072.0,0.012367162480204117,0.012367162480204117,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,61,1.0,4.777382437426107e-07,13151941.234507393,131072.0,0.009965981269449408,0.009965981269449408,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,62,1.0,3.849816315148732e-07,16320740.505087825,131072.0,0.008031008149363054,0.008031008149363054,0.0,1.0,1.2409377607517196
uniform_N16,uniform,16,63,1.0,3.102344401879298e-07,20253023.17619359,131072.0,0.006471725177013007,0.006471725177013007,,,
uniform_N15,uniform,15,0,0.0,1.0,6.283185307179586,32768.0,5215.189175235227,20860.756700940907,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,1,0.0,0.8058421877614819,7.79704190547954,32768.0,4202.6194545615535,16810.477818246214,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,2,0.0,0.6493816315762113,9.675643722673103,32768.0,3386.6480555928474,13546.59222237139,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,3,0.0,0.5232991146814947,12.00687165504539,32768.0,2729.1038782971086,10916.415513188434,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,4,0.0,0.4216965034285823,14.89978042524532,32768.0,2199.2270399152867,8796.908159661147,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,5,0.0,0.33982083289425596,18.489700156596232,32768.0,1772.2299292295424,7088.91971691817,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,6,0.0,0.27384196342643613,22.944567109297246,32768.0,1428.1376433867106,5712.550573546842,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,7,0.0,0.220673406908459,28.47277973002888,32768.0,1150.8535629712737,4603.414251885095,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,8,0.0,0.1778279410038923,35.33294752055899,32768.0,927.4063529778675,3709.62541191147,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,9,0.0,0.14330125702369628,43.84598877692049,32768.0,747.3431644275819,2989.3726577103275,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,10,0.0,0.11547819846894583,54.41014313077674,32768.0,602.2406506309114,2408.9626025236457,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,11,0.0,0.0930572040929699,67.51960117888665,32768.0,485.31092346331184,1941.2436938532474,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,12,0.0,0.07498942093324559,83.78762269377675,32768.0,391.0840163082203,1564.3360652328813,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,13,0.0,0.060429639023813285,103.9752248843253,32768.0,315.1519993003633,1260.6079972014531,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,14,0.0,0.04869675251658632,129.0267827416111,32768.0,253.96277659360973,1015.8511063744389,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,15,0.0,0.039241897584845364,160.11420685237348,32768.0,204.65391950017494,818.6156780006997,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,16,0.0,0.0316227766016838,198.691765315922,32768.0,164.91876222398315,659.6750488959326,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,17,0.0,0.025482967479793468,246.56411433094644,32768.0,132.89849615349019,531.5939846139607,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,18,0.0,0.020535250264571463,305.97071991957563,32768.0,107.09521489053942,428.3808595621577,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,19,0.0,0.016548170999431816,379.6906200325897,32768.0,86.30184226617831,345.20736906471325,0.0,1.0,1.2409377607517196
uniform_N15,uniform,15,20,0.0,0.013335214321633242,471.17242780167385,32768.0,69.54566537962346,278.18266151849383,0.0,1.0,1.2409377607517196
