distance,score_standard,score_sigmoid,score_diff
251,0.32993370294570923,0.6898275017738342,0.359893798828125
252,0.34295350313186646,0.6780316829681396,0.3350781798362732
253,0.3394971489906311,0.47805607318878174,0.13855892419815063
254,0.3268522620201111,0.2654372453689575,-0.061415016651153564
255,0.31814253330230713,0.22948431968688965,-0.08865821361541748
256,0.32070034742355347,0.4004758596420288,0.07977551221847534
257,0.33081763982772827,0.6211391687393188,0.2903215289115906
258,0.3381672501564026,0.68967604637146,0.3515087962150574
259,0.3345411419868469,0.5444470643997192,0.20990592241287231
260,0.3188568353652954,0.32136398553848267,0.002507150173187256
261,0.29533109068870544,0.23063306510448456,-0.06469802558422089
262,0.2687593698501587,0.3645573556423187,0.09579798579216003
263,0.24280284345149994,0.6117367744445801,0.36893391609191895
264,0.22254836559295654,0.7565706372261047,0.5340222716331482
265,0.2166386991739273,0.6740744113922119,0.4574357271194458
266,0.23376455903053284,0.44276565313339233,0.2090010941028595
267,0.2743687331676483,0.27280187606811523,-0.001566857099533081
268,0.3251006603240967,0.3148624300956726,-0.010238230228424072
269,0.3634517788887024,0.5239570140838623,0.1605052351951599
270,0.3718317151069641,0.7021779417991638,0.3303462266921997
271,0.35095271468162537,0.681018054485321,0.3300653398036957
272,0.32087865471839905,0.47650277614593506,0.155624121427536
273,0.30712658166885376,0.2751936614513397,-0.03193292021751404
274,0.32179275155067444,0.26360106468200684,-0.0581916868686676
275,0.35476773977279663,0.4565749168395996,0.10180717706680298
276,0.38251230120658875,0.6815320253372192,0.2990197241306305
277,0.3874274492263794,0.7335575819015503,0.3461301326751709
278,0.37178662419319153,0.5609177350997925,0.18913111090660095
279,0.35460996627807617,0.31280940771102905,-0.04180055856704712
280,0.3542849123477936,0.2062431126832962,-0.14804179966449738
281,0.37190479040145874,0.3327006697654724,-0.03920412063598633
282,0.38970232009887695,0.578933835029602,0.1892315149307251
